[29, 1, 1, 0.34677910804748535, 'SF:', 610, 'SB:', 557]
[29, 1, 2, 0.055223941802978516, 'SF:', 77, 'SB:', 24]
[29, 2, 0, 0.036975860595703125, 'SF:', 852, 'SB:', 799]
[29, 2, 1, 0.5243542194366455, 'SF:', 852, 'SB:', 799]
[29, 2, 2, 0.02211785316467285, 'SF:', 53, 'SB:', 0]
[29, 3, 0, 0.3074002265930176, 'SF:', 7420, 'SB:', 7367]
[29, 3, 1, 4.482352018356323, 'SF:', 7420, 'SB:', 7367]
[29, 3, 2, 0.023344039916992188, 'SF:', 53, 'SB:', 0]
[29, 4, 0, 0.17223501205444336, 'SF:', 4264, 'SB:', 4211]
[29, 4, 1, 2.643587112426758, 'SF:', 4264, 'SB:', 4211]
[29, 4, 2, 0.15375494956970215, 'SF:', 161, 'SB:', 108]
[29, 5, 0, 0.27385902404785156, 'SF:', 5657, 'SB:', 5604]
[29, 5, 1, 4.428544998168945, 'SF:', 5657, 'SB:', 5604]
[29, 5, 2, 0.16604018211364746, 'SF:', 175, 'SB:', 122]
[29, 6, 0, 0.032618045806884766, 'SF:', 919, 'SB:', 866]
[29, 6, 1, 0.5127012729644775, 'SF:', 919, 'SB:', 866]
[29, 6, 2, 0.021704912185668945, 'SF:', 53, 'SB:', 0]
[29, 7, 0, 0.08687591552734375, 'SF:', 2394, 'SB:', 2341]
[29, 7, 1, 1.357192039489746, 'SF:', 2394, 'SB:', 2341]
[29, 7, 2, 0.16364502906799316, 'SF:', 170, 'SB:', 117]
[29, 8, 0, 0.3505070209503174, 'SF:', 7971, 'SB:', 7918]
[29, 8, 1, 5.270911931991577, 'SF:', 7971, 'SB:', 7918]
[29, 8, 2, 0.4963240623474121, 'SF:', 449, 'SB:', 396]
[29, 9, 0, 0.025449275970458984, 'SF:', 664, 'SB:', 611]
[29, 9, 1, 0.35875511169433594, 'SF:', 664, 'SB:', 611]
[29, 9, 2, 0.046061038970947266, 'SF:', 74, 'SB:', 21]
[28, 0, 0, 0.18030500411987305, 'SF:', 3800, 'SB:', 3746]
[28, 0, 1, 2.8681411743164062, 'SF:', 3800, 'SB:', 3746]
[28, 0, 2, 0.2184770107269287, 'SF:', 216, 'SB:', 162]
[28, 1, 0, 0.02797412872314453, 'SF:', 656, 'SB:', 602]
[28, 1, 1, 0.3248581886291504, 'SF:', 656, 'SB:', 602]
[28, 1, 2, 0.025270938873291016, 'SF:', 54, 'SB:', 0]
[28, 2, 0, 0.020308256149291992, 'SF:', 662, 'SB:', 608]
[28, 2, 1, 0.31384778022766113, 'SF:', 662, 'SB:', 608]
[28, 2, 2, 0.3943619728088379, 'SF:', 372, 'SB:', 318]
[28, 3, 0, 0.01572871208190918, 'SF:', 489, 'SB:', 435]
[28, 3, 1, 0.24913883209228516, 'SF:', 489, 'SB:', 435]
[28, 3, 2, 0.07893204689025879, 'SF:', 101, 'SB:', 47]
[28, 4, 0, 0.07394695281982422, 'SF:', 1583, 'SB:', 1529]
[28, 4, 1, 1.034820795059204, 'SF:', 1583, 'SB:', 1529]
[28, 4, 2, 0.02315497398376465, 'SF:', 54, 'SB:', 0]
[28, 5, 0, 0.03887295722961426, 'SF:', 1266, 'SB:', 1212]
[28, 5, 1, 0.5645391941070557, 'SF:', 1266, 'SB:', 1212]
