[31, 2, 1, 4.840220928192139, 'SF:', 11081, 'SB:', 11030]
[31, 3, 1, 0.04519772529602051, 'SF:', 129, 'SB:', 78]
[31, 4, 1, 0.2730238437652588, 'SF:', 440, 'SB:', 389]
[31, 5, 1, 1.1340680122375488, 'SF:', 1915, 'SB:', 1864]
[31, 6, 1, 0.4307379722595215, 'SF:', 988, 'SB:', 937]
[31, 7, 1, 0.09522509574890137, 'SF:', 216, 'SB:', 165]
[31, 8, 1, 0.08486509323120117, 'SF:', 174, 'SB:', 123]
[31, 9, 1, 0.18686914443969727, 'SF:', 432, 'SB:', 381]
[30, 0, 1, 0.6651608943939209, 'SF:', 1042, 'SB:', 990]
[30, 1, 1, 0.25174379348754883, 'SF:', 490, 'SB:', 438]
[30, 2, 1, 2.8932600021362305, 'SF:', 4179, 'SB:', 4127]
[30, 3, 1, 1.187514066696167, 'SF:', 2328, 'SB:', 2276]
[30, 4, 1, 0.0976409912109375, 'SF:', 190, 'SB:', 138]
[30, 5, 1, 2.44057297706604, 'SF:', 2502, 'SB:', 2450]
[30, 6, 1, 0.32518601417541504, 'SF:', 646, 'SB:', 594]
[30, 7, 1, 0.07086706161499023, 'SF:', 162, 'SB:', 110]
[30, 8, 1, 0.0364232063293457, 'SF:', 88, 'SB:', 36]
[30, 9, 1, 0.047966957092285156, 'SF:', 83, 'SB:', 31]
[29, 0, 1, 0.35021090507507324, 'SF:', 334, 'SB:', 281]
[29, 1, 1, 0.07428193092346191, 'SF:', 167, 'SB:', 114]
[29, 2, 1, 0.1410970687866211, 'SF:', 297, 'SB:', 244]
[29, 3, 1, 1.173435926437378, 'SF:', 1907, 'SB:', 1854]
[29, 4, 1, 0.5778989791870117, 'SF:', 900, 'SB:', 847]
[29, 5, 1, 0.566723108291626, 'SF:', 812, 'SB:', 759]
[29, 6, 1, 0.19715213775634766, 'SF:', 338, 'SB:', 285]
[29, 7, 1, 0.44028782844543457, 'SF:', 689, 'SB:', 636]
[29, 8, 1, 0.8494043350219727, 'SF:', 1420, 'SB:', 1367]
[29, 9, 1, 0.10368585586547852, 'SF:', 213, 'SB:', 160]
[28, 0, 1, 0.5619838237762451, 'SF:', 788, 'SB:', 734]
[28, 1, 1, 0.1666398048400879, 'SF:', 334, 'SB:', 280]
[28, 2, 1, 0.1536099910736084, 'SF:', 323, 'SB:', 269]
[28, 3, 1, 0.05486798286437988, 'SF:', 138, 'SB:', 84]
[28, 4, 1, 0.21715712547302246, 'SF:', 351, 'SB:', 297]
[28, 5, 1, 0.11815977096557617, 'SF:', 244, 'SB:', 190]
[28, 6, 1, 0.07251310348510742, 'SF:', 173, 'SB:', 119]
[28, 7, 1, 8.172231912612915, 'SF:', 9783, 'SB:', 9729]
[28, 8, 1, 0.05048489570617676, 'SF:', 119, 'SB:', 65]
[28, 9, 1, 0.06775021553039551, 'SF:', 171, 'SB:', 117]
[27, 0, 1, 0.23903274536132812, 'SF:', 424, 'SB:', 369]
[27, 1, 1, 0.24341702461242676, 'SF:', 435, 'SB:', 380]
[27, 2, 1, 0.27587294578552246, 'SF:', 448, 'SB:', 393]
[27, 3, 1, 0.11594915390014648, 'SF:', 253, 'SB:', 198]
[27, 4, 1, 0.15816283226013184, 'SF:', 313, 'SB:', 258]
[27, 5, 1, 2.3971669673919678, 'SF:', 3880, 'SB:', 3825]
[27, 6, 1, 0.19469690322875977, 'SF:', 384, 'SB:', 329]
[27, 7, 1, 0.04731321334838867, 'SF:', 113, 'SB:', 58]
[27, 8, 1, 0.34368109703063965, 'SF:', 634, 'SB:', 579]
[27, 9, 1, 0.05573105812072754, 'SF:', 119, 'SB:', 64]
[26, 0, 1, 0.9967360496520996, 'SF:', 1751, 'SB:', 1695]
[26, 1, 1, 1.7725517749786377, 'SF:', 3131, 'SB:', 3075]
[26, 2, 1, 0.09537220001220703, 'SF:', 183, 'SB:', 127]
[26, 3, 1, 7.824318170547485, 'SF:', 9357, 'SB:', 9301]
[26, 4, 1, 0.33086109161376953, 'SF:', 539, 'SB:', 483]
[26, 5, 1, 0.04784393310546875, 'SF:', 130, 'SB:', 74]
[26, 6, 1, 0.10729789733886719, 'SF:', 203, 'SB:', 147]
[26, 7, 1, 5.702059030532837, 'SF:', 7620, 'SB:', 7564]
[26, 8, 1, 0.3676419258117676, 'SF:', 750, 'SB:', 694]
[26, 9, 1, 0.5481538772583008, 'SF:', 847, 'SB:', 791]
[25, 0, 1, 1.152662992477417, 'SF:', 2081, 'SB:', 2024]
[25, 1, 1, 0.6222858428955078, 'SF:', 805, 'SB:', 748]
[25, 2, 1, 0.6735281944274902, 'SF:', 883, 'SB:', 826]
[25, 3, 1, 0.16104602813720703, 'SF:', 269, 'SB:', 212]
[25, 4, 1, 1.0399510860443115, 'SF:', 1776, 'SB:', 1719]
[25, 5, 1, 0.09514403343200684, 'SF:', 202, 'SB:', 145]
[25, 6, 1, 2.66532301902771, 'SF:', 3609, 'SB:', 3552]
[25, 7, 1, 0.03318309783935547, 'SF:', 89, 'SB:', 32]
[25, 8, 1, 0.33024120330810547, 'SF:', 480, 'SB:', 423]
[25, 9, 1, 0.13696002960205078, 'SF:', 289, 'SB:', 232]
[24, 0, 1, 0.035954952239990234, 'SF:', 96, 'SB:', 38]
[24, 1, 1, 0.23665618896484375, 'SF:', 322, 'SB:', 264]
[24, 2, 1, 0.10332393646240234, 'SF:', 196, 'SB:', 138]
[24, 3, 1, 0.5404088497161865, 'SF:', 845, 'SB:', 787]
[24, 4, 1, 0.7610247135162354, 'SF:', 994, 'SB:', 936]
[24, 5, 1, 0.0379939079284668, 'SF:', 101, 'SB:', 43]
[24, 6, 1, 12.264878034591675, 'SF:', 18051, 'SB:', 17993]
[24, 7, 1, 5.996262311935425, 'SF:', 9763, 'SB:', 9705]
[24, 8, 1, 0.8150200843811035, 'SF:', 1480, 'SB:', 1422]
[24, 9, 1, 1.0863559246063232, 'SF:', 1339, 'SB:', 1281]
[23, 0, 1, 0.0699620246887207, 'SF:', 138, 'SB:', 79]
[23, 1, 1, 3.8912887573242188, 'SF:', 5859, 'SB:', 5800]
[23, 2, 1, 1.1004321575164795, 'SF:', 1573, 'SB:', 1514]
[23, 3, 1, 1.532871961593628, 'SF:', 2649, 'SB:', 2590]
[23, 4, 1, 1.6535539627075195, 'SF:', 2388, 'SB:', 2329]
[23, 5, 1, 1.29721999168396, 'SF:', 1334, 'SB:', 1275]
[23, 6, 1, 0.16291403770446777, 'SF:', 250, 'SB:', 191]
[23, 7, 1, 10.276445865631104, 'SF:', 13892, 'SB:', 13833]
[23, 8, 1, 0.7408170700073242, 'SF:', 978, 'SB:', 919]
[23, 9, 1, 17.555174827575684, 'SF:', 19787, 'SB:', 19728]
[22, 0, 1, 2.7013120651245117, 'SF:', 3661, 'SB:', 3601]
[22, 1, 1, 0.791377067565918, 'SF:', 1072, 'SB:', 1012]
[22, 2, 1, 0.06142592430114746, 'SF:', 129, 'SB:', 69]
[22, 3, 1, 1.050713062286377, 'SF:', 1394, 'SB:', 1334]
[22, 4, 1, 0.09579706192016602, 'SF:', 199, 'SB:', 139]
[22, 5, 1, 0.27330493927001953, 'SF:', 423, 'SB:', 363]
[22, 6, 1, 5.466749906539917, 'SF:', 8751, 'SB:', 8691]
[22, 7, 1, 0.8985939025878906, 'SF:', 1156, 'SB:', 1096]
[22, 8, 1, 2.073198080062866, 'SF:', 2956, 'SB:', 2896]
[22, 9, 1, 0.45023417472839355, 'SF:', 666, 'SB:', 606]
[21, 0, 1, 0.5492329597473145, 'SF:', 753, 'SB:', 692]
[21, 1, 1, 13.23003101348877, 'SF:', 20846, 'SB:', 20785]
[21, 2, 1, 0.8865501880645752, 'SF:', 1254, 'SB:', 1193]
[21, 3, 1, 3.660590887069702, 'SF:', 5507, 'SB:', 5446]
[21, 4, 1, 0.6057400703430176, 'SF:', 1000, 'SB:', 939]
[21, 5, 1, 1.8892319202423096, 'SF:', 2870, 'SB:', 2809]
[21, 6, 1, 0.10169100761413574, 'SF:', 179, 'SB:', 118]
[21, 7, 1, 1.1872539520263672, 'SF:', 1733, 'SB:', 1672]
[21, 8, 1, 11.600532054901123, 'SF:', 15269, 'SB:', 15208]
